param,mean,median,0.950_CI_LB,0.950_CI_UB
alpha_loc_0_pop_0,0.000543,0.000066,-0.059272,0.062156
alpha_loc_1_pop_0,-0.000373,-0.000341,-0.062219,0.061462
alpha_loc_2_pop_0,-0.000542,-0.000756,-0.062317,0.060447
alpha_loc_3_pop_0,-0.000480,-0.000433,-0.061737,0.061142
alpha_loc_4_pop_0,0.000818,0.000849,-0.061767,0.063292
alpha_loc_5_pop_0,0.000240,0.000143,-0.061971,0.063728
alpha_loc_6_pop_0,-0.000082,0.000264,-0.061166,0.061869
alpha_loc_7_pop_0,0.000809,0.000531,-0.059466,0.063370
alpha_loc_8_pop_0,-0.000155,-0.000219,-0.062364,0.061900
alpha_loc_9_pop_0,-0.000158,-0.000188,-0.060609,0.060207
alpha_loc_10_pop_0,-0.000923,-0.000804,-0.063574,0.060551
alpha_loc_11_pop_0,0.000502,0.000535,-0.060916,0.060374
alpha_loc_12_pop_0,0.001506,0.001388,-0.060224,0.065269
alpha_loc_13_pop_0,0.000148,0.000136,-0.060168,0.060654
alpha_loc_14_pop_0,-0.001140,-0.000973,-0.063960,0.061005
alpha_loc_15_pop_0,0.000579,0.000513,-0.058629,0.062285
alpha_loc_16_pop_0,0.000050,-0.000036,-0.061079,0.060338
alpha_loc_17_pop_0,-0.000742,-0.000462,-0.063039,0.061389
alpha_loc_18_pop_0,-0.000310,-0.000258,-0.061681,0.060779
alpha_loc_19_pop_0,-0.000340,-0.000200,-0.060555,0.060543
alpha_loc_20_pop_0,-0.000148,-0.000184,-0.060595,0.059846
alpha_loc_21_pop_0,-0.000460,-0.000479,-0.062788,0.061261
alpha_loc_22_pop_0,0.000512,0.000612,-0.059495,0.061295
alpha_loc_23_pop_0,0.001044,0.000855,-0.059387,0.065445
alpha_loc_24_pop_0,-0.000136,0.000254,-0.062070,0.062630
alpha_loc_25_pop_0,-0.000211,-0.000138,-0.062527,0.062666
alpha_loc_26_pop_0,-0.000105,-0.000158,-0.063413,0.063480
alpha_loc_27_pop_0,0.002964,0.002406,-0.057620,0.066570
alpha_loc_28_pop_0,-0.000385,-0.000143,-0.062328,0.060256
alpha_loc_29_pop_0,0.000218,0.000302,-0.062416,0.062304
alpha_loc_30_pop_0,-0.000174,-0.000245,-0.061794,0.060989
